datetime,zone_id,station_no,serial_no,ta,rh,a_s,co2,pm2_5,pm10
2019-01-13,5_engine,1,41245157,26.43,58.23,0.01,433.1,37.52,24.76
2019-01-13,6_final,2,416C1958,26.65,62.07,0.01,491.75,35.94,25.93
2019-01-13,7_inspect,2,416C1AE2,25.86,59.12,0.01,439.57,35.1,25.45
2019-01-14,1_trim_1,1,416C1939,26.0,66.9,0.14,584.51,35.43,25.78
2019-01-14,2_trim_2,1,416C1AD2,25.05,52.41,0.08,571.72,35.39,24.09
2019-01-14,2_trim_2,2,416C1AEC,24.12,60.0,0.05,562.13,35.4,25.58
2019-01-14,2_trim_2,4,416C1930,24.94,51.74,0.04,697.99,35.78,25.44
2019-01-14,3_chassis_1,2,416C1AD0,24.14,57.38,0.05,580.9,35.85,25.88
2019-01-14,3_chassis_1,4,416C1AC5,24.76,61.49,0.06,649.15,34.25,26.71
2019-01-14,3_chassis_1,5,416C1AE4,23.96,60.86,0.1,553.77,36.41,24.55
2019-01-14,4_chassis_2,1,416C1AE5,25.71,62.18,0.01,463.17,33.75,25.49
2019-01-14,5_engine,1,41245157,24.81,55.53,0.02,551.8,34.78,25.6
2019-01-14,6_final,2,416C1958,24.43,59.0,0.02,555.61,34.51,25.77
2019-01-14,7_inspect,2,416C1AE2,24.01,57.32,0.07,567.35,35.05,25.06
2019-01-15,1_trim_1,1,416C1939,26.38,67.27,0.18,578.11,35.4,24.95
2019-01-15,2_trim_2,1,416C1AD2,24.89,53.13,0.07,594.05,34.64,25.02
2019-01-15,2_trim_2,2,416C1AEC,23.85,60.57,0.04,587.17,35.73,25.51
2019-01-15,2_trim_2,4,416C1930,24.86,52.3,0.03,722.31,37.9,24.99
2019-01-15,3_chassis_1,2,416C1AD0,24.07,58.07,0.05,598.38,34.92,23.35
2019-01-15,3_chassis_1,4,416C1AC5,24.39,61.08,0.03,597.47,33.91,24.0
2019-01-15,3_chassis_1,5,416C1AE4,23.91,60.71,0.09,582.66,34.33,25.77
2019-01-15,4_chassis_2,1,416C1AE5,24.27,60.25,0.01,578.97,36.01,25.1
2019-01-15,5_engine,1,41245157,24.77,55.67,0.02,564.15,35.74,25.03
2019-01-15,6_final,2,416C1958,24.28,59.87,0.02,564.58,34.32,24.64
2019-01-15,7_inspect,2,416C1AE2,24.07,57.87,0.05,576.62,36.29,25.25
2019-01-16,1_trim_1,1,416C1939,26.46,69.15,0.18,588.15,38.44,25.54
2019-01-16,2_trim_2,1,416C1AD2,24.9,54.12,0.07,601.33,35.75,25.61
2019-01-16,2_trim_2,2,416C1AEC,23.83,60.63,0.05,591.34,37.92,25.01
2019-01-16,2_trim_2,4,416C1930,24.94,53.01,0.04,728.69,36.31,25.74
2019-01-16,3_chassis_1,2,416C1AD0,24.34,58.49,0.05,606.75,33.27,25.39
2019-01-16,3_chassis_1,3,416C1935,24.91,61.43,0.01,501.0,38.24,25.19
2019-01-16,3_chassis_1,4,416C1AC5,24.4,61.1,0.04,626.6,34.54,24.68
2019-01-16,3_chassis_1,5,416C1AE4,23.76,60.7,0.09,570.23,35.71,25.61
2019-01-16,4_chassis_2,1,416C1AE5,24.12,60.67,0.01,573.97,37.05,25.27
2019-01-16,5_engine,1,41245157,24.77,56.56,0.01,562.74,36.01,25.59
2019-01-16,6_final,2,416C1958,24.28,60.56,0.02,572.2,35.16,26.06
2019-01-16,7_inspect,2,416C1AE2,24.01,59.02,0.04,575.18,34.73,24.08
2019-01-17,2_trim_2,1,416C1AD2,24.76,53.53,0.07,590.45,37.53,25.5
2019-01-17,2_trim_2,2,416C1AEC,23.72,60.26,0.04,581.51,33.49,24.0
2019-01-17,2_trim_2,4,416C1930,24.74,52.24,0.03,715.46,36.54,25.68
2019-01-17,3_chassis_1,2,416C1AD0,24.43,57.53,0.03,602.95,36.27,26.04
2019-01-17,3_chassis_1,4,416C1AC5,24.22,61.36,0.06,628.59,38.67,24.97
2019-01-17,3_chassis_1,5,416C1AE4,23.67,60.28,0.09,557.41,34.95,25.48
2019-01-17,4_chassis_2,1,416C1AE5,24.02,61.68,0.01,563.79,34.83,23.36
2019-01-17,5_engine,1,41245157,24.57,55.75,0.01,554.48,34.98,24.26
2019-01-17,6_final,2,416C1958,24.01,60.41,0.02,567.57,36.38,26.26
2019-01-17,7_inspect,2,416C1AE2,23.73,58.55,0.06,574.25,36.03,25.47
2019-01-18,2_trim_2,1,416C1AD2,24.76,53.36,0.07,571.51,36.45,25.85
2019-01-18,2_trim_2,2,416C1AEC,23.74,60.15,0.04,560.07,36.44,24.61
2019-01-18,2_trim_2,4,416C1930,24.72,52.63,0.03,695.34,35.16,25.5
2019-01-18,3_chassis_1,2,416C1AD0,24.47,57.26,0.02,576.09,34.34,25.97
2019-01-18,3_chassis_1,4,416C1AC5,24.29,61.46,0.05,608.42,36.19,26.49
2019-01-18,3_chassis_1,5,416C1AE4,23.64,60.35,0.09,542.08,34.99,24.97
2019-01-18,4_chassis_2,1,416C1AE5,23.82,60.18,0.01,572.02,36.12,24.39
2019-01-18,5_engine,1,41245157,24.55,55.81,0.02,544.78,36.38,25.23
2019-01-18,6_final,2,416C1958,23.89,60.29,0.01,547.46,35.68,24.19
2019-01-18,7_inspect,2,416C1AE2,23.72,58.51,0.05,549.55,36.57,25.75
2019-01-19,2_trim_2,1,416C1AD2,26.09,54.01,0.06,496.91,34.86,25.61
2019-01-19,2_trim_2,2,416C1AEC,24.94,60.79,0.06,468.19,34.93,23.89
2019-01-19,2_trim_2,4,416C1930,26.37,54.14,0.03,621.59,35.85,25.06
2019-01-19,3_chassis_1,2,416C1AD0,25.61,58.01,0.02,483.06,36.68,25.23
2019-01-19,3_chassis_1,4,416C1AC5,25.66,61.11,0.02,515.39,35.42,26.54
2019-01-19,3_chassis_1,5,416C1AE4,25.44,60.78,0.11,460.51,36.29,25.15
2019-01-19,4_chassis_2,1,416C1AE5,23.73,59.96,0.01,548.39,33.58,25.48
2019-01-19,5_engine,1,41245157,25.71,55.51,0.01,440.89,34.4,26.3
2019-01-19,6_final,2,416C1958,25.67,60.23,0.01,472.3,37.17,24.58
2019-01-19,7_inspect,2,416C1AE2,25.26,58.34,0.01,461.07,36.11,24.93
2019-01-20,2_trim_2,1,416C1AD2,26.53,54.56,0.07,473.35,35.88,24.79
2019-01-20,2_trim_2,2,416C1AEC,25.31,61.0,0.05,446.9,34.8,26.16
2019-01-20,2_trim_2,4,416C1930,26.88,54.26,0.03,603.36,36.61,26.55
2019-01-20,3_chassis_1,2,416C1AD0,26.09,57.96,0.02,488.29,37.48,27.29
2019-01-20,3_chassis_1,4,416C1AC5,26.08,61.25,0.03,505.7,34.81,25.33
2019-01-20,3_chassis_1,5,416C1AE4,26.05,61.07,0.12,444.66,34.74,26.0
2019-01-20,4_chassis_2,1,416C1AE5,24.88,59.22,0.01,461.69,35.03,25.83
2019-01-20,5_engine,1,41245157,26.05,56.66,0.01,419.48,37.71,26.23
2019-01-20,6_final,2,416C1958,26.18,61.63,0.01,454.65,34.37,24.79
2019-01-20,7_inspect,2,416C1AE2,25.76,57.48,0.01,444.88,34.24,25.65
2019-01-21,2_trim_2,1,416C1AD2,25.17,52.85,0.08,562.61,36.55,25.09
2019-01-21,2_trim_2,2,416C1AEC,23.95,60.51,0.05,550.22,35.14,25.71
2019-01-21,2_trim_2,4,416C1930,25.06,52.38,0.04,710.46,35.29,26.67
2019-01-21,3_chassis_1,2,416C1AD0,24.66,57.63,0.03,582.71,33.51,24.96
2019-01-21,3_chassis_1,4,416C1AC5,24.69,61.48,0.07,632.34,35.27,24.95
2019-01-21,3_chassis_1,5,416C1AE4,24.28,59.99,0.11,561.93,33.5,25.01
2019-01-21,4_chassis_2,1,416C1AE5,25.26,61.53,0.01,447.51,34.83,25.77
2019-01-21,5_engine,1,41245157,24.78,56.07,0.02,554.79,33.8,24.9
2019-01-21,6_final,2,416C1958,24.32,60.52,0.02,543.96,34.38,25.48
2019-01-21,7_inspect,2,416C1AE2,23.96,58.48,0.08,562.56,34.66,25.48
2019-01-22,2_trim_2,1,416C1AD2,25.0,53.56,0.07,583.04,33.83,26.06
2019-01-22,2_trim_2,2,416C1AEC,23.85,60.31,0.05,577.43,34.48,25.36
2019-01-22,2_trim_2,4,416C1930,24.87,52.69,0.04,743.63,36.25,25.85
2019-01-22,3_chassis_1,2,416C1AD0,24.77,57.86,0.02,599.07,34.22,24.95
2019-01-22,3_chassis_1,4,416C1AC5,24.69,61.49,0.06,659.41,34.98,25.41
2019-01-22,3_chassis_1,5,416C1AE4,23.89,60.09,0.1,568.32,34.33,24.91
2019-01-22,4_chassis_2,1,416C1AE5,24.18,61.31,0.01,572.71,34.97,25.57
2019-01-22,5_engine,1,41245157,24.75,55.92,0.02,577.88,35.69,26.44
2019-01-22,6_final,2,416C1958,24.38,60.6,0.02,554.48,35.55,24.97
2019-01-22,7_inspect,2,416C1AE2,23.99,58.79,0.07,566.45,37.56,25.9
2019-01-23,2_trim_2,1,416C1AD2,24.91,53.19,0.07,586.49,36.1,25.24
2019-01-23,2_trim_2,2,416C1AEC,23.66,60.6,0.05,579.64,37.07,24.22
2019-01-23,2_trim_2,4,416C1930,24.75,52.72,0.04,749.47,33.98,25.14
2019-01-23,3_chassis_1,2,416C1AD0,24.43,57.75,0.03,612.29,35.18,25.86
2019-01-23,3_chassis_1,4,416C1AC5,24.17,61.2,0.05,655.2,33.74,24.82
2019-01-23,3_chassis_1,5,416C1AE4,23.79,60.68,0.09,550.32,36.65,26.16
2019-01-23,4_chassis_2,1,416C1AE5,24.03,61.02,0.01,589.6,36.65,25.52
2019-01-23,5_engine,1,41245157,24.49,55.93,0.02,579.35,34.69,25.02
2019-01-23,6_final,2,416C1958,24.06,60.47,0.01,546.5,36.23,25.78
2019-01-23,7_inspect,2,416C1AE2,23.8,58.57,0.05,575.63,35.17,25.49
2019-01-24,2_trim_2,1,416C1AD2,24.85,53.0,0.07,590.53,34.85,27.19
2019-01-24,2_trim_2,2,416C1AEC,23.51,60.99,0.08,568.72,35.36,24.12
2019-01-24,2_trim_2,4,416C1930,24.65,52.5,0.03,756.09,36.98,25.62
2019-01-24,3_chassis_1,2,416C1AD0,24.24,57.79,0.02,619.42,35.78,24.67
2019-01-24,3_chassis_1,4,416C1AC5,23.92,61.0,0.04,622.97,35.45,26.84
2019-01-24,3_chassis_1,5,416C1AE4,23.64,61.76,0.09,549.65,37.65,24.97
2019-01-24,4_chassis_2,1,416C1AE5,23.75,60.62,0.01,572.92,36.85,26.97
2019-01-24,5_engine,1,41245157,24.48,55.9,0.01,601.57,36.29,24.92
2019-01-24,6_final,2,416C1958,23.81,61.28,0.01,550.97,36.82,24.72
2019-01-24,7_inspect,2,416C1AE2,23.46,59.27,0.07,584.22,34.72,26.2
2019-01-25,2_trim_2,1,416C1AD2,24.87,54.46,0.07,573.83,36.37,26.24
2019-01-25,2_trim_2,2,416C1AEC,23.71,61.08,0.09,568.61,33.86,24.79
2019-01-25,2_trim_2,4,416C1930,24.71,53.73,0.04,731.2,37.62,24.81
2019-01-25,3_chassis_1,2,416C1AD0,24.42,58.72,0.02,586.23,35.67,25.99
2019-01-25,3_chassis_1,4,416C1AC5,24.14,61.27,0.04,605.81,35.48,26.83
2019-01-25,3_chassis_1,5,416C1AE4,23.77,60.93,0.09,577.39,36.57,25.51
2019-01-25,4_chassis_2,1,416C1AE5,23.56,60.63,0.02,584.95,34.41,26.18
2019-01-25,5_engine,1,41245157,24.57,56.61,0.02,580.05,38.94,24.72
2019-01-25,6_final,2,416C1958,24.05,61.21,0.01,548.57,38.15,24.63
2019-01-25,7_inspect,2,416C1AE2,23.84,59.62,0.04,557.29,35.84,26.26
2019-01-26,2_trim_2,1,416C1AD2,26.54,57.44,0.06,505.13,36.23,25.54
2019-01-26,2_trim_2,2,416C1AEC,25.35,62.18,0.08,478.32,36.01,26.85
2019-01-26,2_trim_2,4,416C1930,26.89,56.79,0.05,656.73,36.37,26.25
2019-01-26,3_chassis_1,2,416C1AD0,26.28,60.13,0.02,494.84,36.62,24.1
2019-01-26,3_chassis_1,4,416C1AC5,26.15,61.0,0.02,529.19,34.41,26.02
2019-01-26,3_chassis_1,5,416C1AE4,26.14,62.16,0.11,462.64,35.31,24.6
2019-01-26,4_chassis_2,1,416C1AE5,23.71,61.25,0.01,561.02,36.49,24.41
2019-01-26,5_engine,1,41245157,26.31,56.65,0.02,460.56,33.98,25.66
2019-01-26,6_final,2,416C1958,26.32,61.38,0.01,449.72,34.56,25.42
2019-01-26,7_inspect,2,416C1AE2,25.83,60.82,0.01,483.21,34.74,25.14
2019-01-27,2_trim_2,1,416C1AD2,27.03,56.0,0.06,480.88,39.08,27.56
2019-01-27,2_trim_2,2,416C1AEC,26.02,61.56,0.08,446.77,35.8,24.1
2019-01-27,2_trim_2,4,416C1930,27.29,55.96,0.04,630.68,37.88,27.08
2019-01-27,3_chassis_1,2,416C1AD0,26.53,60.0,0.02,444.48,34.84,19.4
2019-01-27,3_chassis_1,4,416C1AC5,26.78,61.0,0.04,509.62,42.31,35.92
2019-01-27,3_chassis_1,5,416C1AE4,26.59,62.15,0.12,439.69,35.85,19.65
2019-01-27,4_chassis_2,1,416C1AE5,25.35,59.82,0.01,476.15,33.2,25.28
2019-01-27,5_engine,1,41245157,27.0,57.29,0.02,425.6,36.44,25.69
2019-01-27,6_final,2,416C1958,27.4,60.01,0.01,429.08,34.07,25.11
2019-01-27,7_inspect,2,416C1AE2,26.26,59.96,0.01,458.12,31.56,30.44
2019-01-28,1_trim_1,1,416C1939,28.16,66.0,0.04,573.0,2.0,8.0
2019-01-28,2_trim_2,1,416C1AD2,27.28,56.0,0.07,466.07,37.84,26.03
2019-01-28,2_trim_2,2,416C1AEC,26.54,59.76,0.06,447.03,33.37,24.32
2019-01-28,2_trim_2,4,416C1930,27.72,55.41,0.06,611.61,35.38,25.17
2019-01-28,3_chassis_1,2,416C1AD0,27.06,59.05,0.02,422.51,33.66,26.98
2019-01-28,3_chassis_1,4,416C1AC5,27.06,61.05,0.04,485.05,34.2,26.22
2019-01-28,3_chassis_1,5,416C1AE4,26.99,62.13,0.12,413.97,35.2,26.51
2019-01-28,4_chassis_2,1,416C1AE5,26.13,61.51,0.01,446.68,33.7,26.07
2019-01-28,5_engine,1,41245157,27.65,57.45,0.01,427.48,35.57,24.55
2019-01-28,6_final,2,416C1958,28.06,59.55,0.01,427.03,34.73,27.96
2019-01-28,7_inspect,2,416C1AE2,26.66,59.04,0.01,436.53,37.94,24.8
